val,perc,sel_perc
726.32,2,2
614.57,4,4
554.5,6,6
513.46,8,8
482.3,10,10
457.11,12,12
435.87,14,14
417.43,16,16
401.2,18,18
386.69,20,20
373.52,22,22
361.46,24,24
350.35,26,26
340.04,28,28
330.45,30,30
321.53,32,32
313.21,34,34
305.44,36,36
298.18,38,38
291.35,40,40
284.93,42,42
278.87,44,44
273.14,46,46
267.7,48,48
262.54,50,50
257.68,52,52
253.07,54,54
248.65,56,56
244.41,58,58
240.33,60,60
236.39,62,62
232.57,64,64
228.86,66,66
225.26,68,68
221.74,70,70
218.3,72,72
214.94,74,74
211.64,76,76
208.42,78,78
205.26,80,80
202.16,82,82
199.11,84,84
196.1,86,86
193.12,88,88
190.17,90,90
187.21,92,92
184.25,94,94
181.27,96,96
178.23,98,98
175.03,100,100
