val,perc,sel_perc
8.28,2,2
7.85,4,4
7.58,6,6
7.38,8,8
7.21,10,10
7.06,12,12
6.93,14,14
6.82,16,16
6.72,18,18
6.63,20,20
6.55,22,22
6.47,24,24
6.4,26,26
6.34,28,28
6.28,30,30
6.22,32,32
6.17,34,34
6.12,36,36
6.07,38,38
6.03,40,40
5.98,42,42
5.94,44,44
5.9,46,46
5.86,48,48
5.82,50,50
5.78,52,52
5.74,54,54
5.7,56,56
5.66,58,58
5.62,60,60
5.58,62,62
5.54,64,64
5.51,66,66
5.47,68,68
5.43,70,70
5.39,72,72
5.36,74,74
5.32,76,76
5.28,78,78
5.24,80,80
5.21,82,82
5.17,84,84
5.13,86,86
5.09,88,88
5.04,90,90
5,92,92
4.96,94,94
4.91,96,96
4.86,98,98
4.8,100,100
