Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hours,8760,8760,8784,8016,8760,8760,8784,8760,8760,8760,8784,8760,8760,8760,8784,8760,8760,8760,8784,8760,8760,8760,8784,8760,8760,8760,8784,8760,8760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Generation,0,0,0,524160,2102400,2102400,2108160,2102400,2102400,2102400,2108160,2102400,2102400,2102400,2108160,2102400,2102400,2102400,2108160,2102400,2102400,2102400,2108160,2102400,2102400,2102400,2108160,2102400,1578240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Capacity revenue without penalty,0,0,0,8820000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,26460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Net capacity revenue,0,0,0,8820000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,35280000,26460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Fuel used,0,0,0,3415808.496013199,13703343.361953532,13707454.364962114,13752628.117259175,13729720.435469031,13733839.351599667,13741709.538869198,13794811.569604194,13761252.204596873,13775955.570600275,13811934.3302922,13853925.909541508,13830785.424628833,13866743.593507646,13870903.61658569,13923624.86753646,13921552.856723089,13925729.3225801,13940445.132685933,14014649.204179564,13980555.028574515,13995274.98671449,14031171.383153979,14073829.495407244,14050104.840743039,10573739.465586895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Fuel revenues,0,0,0,56439944.70192121,229955374.16579422,235734939.67301595,242234401.36064512,247692502.79532355,253903496.92233846,260153889.58246237,267461669.21114278,273426295.4903829,280157284.74863917,287247365.2324154,295249542.82884514,301698753.4712654,309333994.6747394,317090675.2465308,325778339.2379254,333118878.85902715,341471975.4479089,349878058.68366075,359706209.83632785,367727969.0600838,376780401.2896346,386315771.2952719,397077810.5143445,405751281.83254576,311328389.6640728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Fuel expenses,0,0,0,56439944.70192121,229955374.16579422,235774969.79749507,242460214.70576707,248113453.76478493,254392584.99593717,260902482.76276356,268450980.5938093,274499802.206634,281664922.57524645,289458506.6022942,297589459.3291263,304529560.39102674,312952116.9757438,320872152.67610735,330137997.29727787,338347276.73775035,346910000.443791,355960997.03541225,366790296.94397146,375054930.84704554,384838745.2462352,395468709.19360054,406577511.6853253,416052848.3824018,319949599.6947586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Heat Rate before degradation,6516.239999999999,6516.239999999999,6516.239999999999,6516.239999999999,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,6516.24,,,,,
,,,,Heat Rate after degradation,6516.239999999999,6516.239999999999,6516.239999999999,6516.294295892093,6517.950503839284,6519.905888990433,6523.531111127564,6530.496672687936,6532.455821689739,6536.204151358281,6543.531596186315,6545.494655665169,6552.502083796123,6569.601443183074,6571.5723236160275,6578.581708671806,6595.671290179832,6597.649991566884,6604.661333547486,6621.74113717659,6623.727659517739,6630.740958423166,6647.810984173349,6649.8053274686,6656.820583298851,6673.880831170107,6675.882995419455,6682.900208174532,6699.825063512571,6700.201869798825,6706.341322349119,6724.75968,6724.75968,6731.27592,6750.82464,6750.82464,6757.34088,6776.8896,6776.8896,6776.8896,6776.8896,6776.8896,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Heat Rate after degradation,6516.239999999999,6516.239999999999,6516.239999999999,6516.294295892093,6517.950503839284,6519.905888990433,6523.531111127564,6530.496672687936,6532.455821689739,6536.204151358281,6543.531596186315,6545.494655665169,6552.502083796123,6569.601443183074,6571.5723236160275,6578.581708671806,6595.671290179832,6597.649991566884,6604.661333547486,6621.74113717659,6623.727659517739,6630.740958423166,6647.810984173349,6649.8053274686,6656.820583298851,6673.880831170107,6675.882995419455,6682.900208174532,6699.825063512571,6700.201869798825,6706.341322349119,6724.75968,6724.75968,6731.27592,6750.82464,6750.82464,6757.34088,6776.8896,6776.8896,6776.8896,6776.8896,6776.8896,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cashflow Available For Debt Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Debt Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cash Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
