Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,Senior Debt,,,,,
,,,Debt Size,,,,,
,,,Target Debt Service Coverage Ratio,130,1.3,,,
,,,Target Debt:Capital Ratio,75,0.75,,,
,,,Apply Scuplting,,False,,,
,,,,,,,,
,,,Debt Draws,,,,,
,,,Interest Capitalised (Rolled up to Debt),,True,,,
,,,Start of Drawdown (Financial Close Date),,2026-05-01 00:00:00,,,
,,,Draw Code (1-Pro-Rata; 2-Equity First; 3-Debt First),,2,,,Pro-Rata
,,,,,,,,Equity First
,,,Debt Repayment,,,,,
,,,Repayment period,,12,,,
,,,Start of Repayment (Construction Start Date),,2029-09-01 00:00:00,,,Equal Installment
,,,End of Repayment,,2041-09-01 00:00:00,,,Annuity
,,,Repayment Style (1 - Level; 2 - Annuity; 3 - Sculpted),,3,,,Sculpted
,,,,,,,,
,,,Interest and Fees,,,,,
,,,Base rate,,0.05,5,,
,,,SOFRA 180 +3%,,0.0737452,,,
,,,12 month Vietnames Dong Deposit Rate,,0.07932,,,
,,,,,,,,
,,,Arrangement Fee (Upfront Fee),,0.015,,,
,,,Commitment Fee annual,,0.0075,,,
,,,Fee Amortisation Period,Years,25,,,
,,,,,,,,
,,,Credit Enhancements,,,,,
,,,Debt Service Reserve Account Months,Months,False,,The amount of months of the annual Debt repayment needed to be retained,
,,,Debt Service Reserve Account Interest Rate,%,False,,,
,,,DRSA,,False,,Cash trap covenants - PV of CF/PV of Debt. Projection of the life of the project to project future CF's,
,,,Cash Trap/Dividend Lockup Covenant,(x),1.15,,You cannot pay a dividend on this,
,,,Cash Sweep,,False,,How much of the extra cashflow and pay off the debt / this is a % of CF after debt service,
,,,Cash Sweep on,,False,,,
,,,Interest charge semi annual,,False,,,
,,,,,,,,
,,,Subordinated Debt,,,,,
,,,Debt Sizing,,,,,
,,,Subhordinated-Debt %,,False,0,,
,,,Repayments,,,,,
,,,Number of years before subhordinate debt is paid,,4,4,,
,,,,,,,,
,,,Start of Repayment,,2033-09-01 00:00:00,,,
,,,No of years for repayment,,14,14,,
,,,End of Repayment,,2047-08-31 00:00:00,,,
,,,,,,,,
,,,Interest and Fees,,,,,
,,,Annual Coupon Rate - Construction,,0.08,8,,
,,,Annual Coupon Rate - Operations,,0.07,,,
,,,Sub Interest Tax Deductible,,True,,,
,,,,,,,,
,,,Development Fee,,,,,
,,,Pre-Development %,,0.01,1,,
,,,Pre-Development Cost,,3400000,,,
,,,Development Fee,,6800000,7,,
,,,Percent of Construction,,0.02,2,,
,,,Development Fee Date,,2029-08-01 00:00:00,,,
,,,,,,,,
,,,Value-Added Tax Facility,,,,,
,,,Interest rate on facilty,,False,,,
,,,Arrangement fee,,False,,,
,,,Commitment fee,,False,,,
,,,,,,,,
,,,Interest Capitalised,,False,,,
,,,,,,,,
,,,Discount Rates,,Start Date,Discount Rate - Equity,Discount Rate - Project,
,,,Pre-construction,,2026-05-01 00:00:00,0.09,0.0779179092058127,90
,,,Post-Construction,,2029-09-01 00:00:00,0.08,0.06368532644998585,80
,,,Initial Operations (Yrs 1 -3),3,2032-09-01 00:00:00,0.07,0.060516175232917795,70
,,,Initial Operations Mature,2,2034-09-01 00:00:00,0.065,0.05888098178988372,65
,,,,,,,,
,,,Risk Free Rate,,0.0434,,,
,,,,,,,,
,,,Commencement of Operations Date Month,,9,,,
,,,Assumed Sale Date,,2054-09-01 00:00:00,,2038,
,,,,,,,,
,,,Refinancing,,,,,
,,,Include Re-Financing,,False,,,
,,,Assumed Date of Refinancing,,2032-09-01 00:00:00,,2032,
,,,Assumed Debt Service Coverage Ratio on Refinancing,,1.3,,130,
,,,Assumed Term,,False,,0,
,,,Assumed Interest Rate,,0.056,,56,
,,,End of Operations,,2041-09-01 00:00:00,,,
,,,Date of Repayment,,2041-09-01 00:00:00,,,
,,,Tenor for Re-financing,,9,,,
,,,Fee on New Debt,,0.015,,,
,,,Breakage Fee,,0.01,,,
,,,,,,,,
,,,,,,,Structuring,
,,,,,,,Risk Analysis,
,,,,,,,,
,,,Outputs,,,,,
,,,Dynamic input assumption,,,,,
,,,Fixed input,,,,,
,,,Explanations/methods/units,,,,,
,,,VBA OUTPUT,,,,,
,,,TEST,,,,,
,,,Switch,,,,,
,,,Warning,,,,,
,,,Links,,,,,
,,,Column Header,,,,,
,,,Row Header,,,,,
,,,True,,,,,
,,,False,,,,,
