Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124
Timing And Periodicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Period Counter,,40,Equity IRR,0.05620448291301727,,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
,,,Pre-Operation Period,Start,2029-09-01 00:00:00,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Months per Period,,6,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,Period Start,,,,,,,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,2027-01-01 00:00:00,2027-02-01 00:00:00,2027-03-01 00:00:00,2027-04-01 00:00:00,2027-05-01 00:00:00,2027-06-01 00:00:00,2027-07-01 00:00:00,2027-08-01 00:00:00,2027-09-01 00:00:00,2027-10-01 00:00:00,2027-11-01 00:00:00,2027-12-01 00:00:00,2028-01-01 00:00:00,2028-02-01 00:00:00,2028-03-01 00:00:00,2028-04-01 00:00:00,2028-05-01 00:00:00,2028-06-01 00:00:00,2028-07-01 00:00:00,2028-08-01 00:00:00,2028-09-01 00:00:00,2028-10-01 00:00:00,2028-11-01 00:00:00,2028-12-01 00:00:00,2029-01-01 00:00:00,2029-02-01 00:00:00,2029-03-01 00:00:00,2029-04-01 00:00:00,2029-05-01 00:00:00,2029-06-01 00:00:00,2029-07-01 00:00:00,2029-08-01 00:00:00,2029-09-01 00:00:00,2030-03-01 00:00:00,2030-09-01 00:00:00,2031-03-01 00:00:00,2031-09-01 00:00:00,2032-03-01 00:00:00,2032-09-01 00:00:00,2033-03-01 00:00:00,2033-09-01 00:00:00,2034-03-01 00:00:00,2034-09-01 00:00:00,2035-03-01 00:00:00,2035-09-01 00:00:00,2036-03-01 00:00:00,2036-09-01 00:00:00,2037-03-01 00:00:00,2037-09-01 00:00:00,2038-03-01 00:00:00,2038-09-01 00:00:00,2039-03-01 00:00:00,2039-09-01 00:00:00,2040-03-01 00:00:00,2040-09-01 00:00:00,2041-03-01 00:00:00,2041-09-01 00:00:00,2042-03-01 00:00:00,2042-09-01 00:00:00,2043-03-01 00:00:00,2043-09-01 00:00:00,2044-03-01 00:00:00,2044-09-01 00:00:00,2045-03-01 00:00:00,2045-09-01 00:00:00,2046-03-01 00:00:00,2046-09-01 00:00:00,2047-03-01 00:00:00,2047-09-01 00:00:00,2048-03-01 00:00:00,2048-09-01 00:00:00,2049-03-01 00:00:00,2049-09-01 00:00:00,2050-03-01 00:00:00,2050-09-01 00:00:00,2051-03-01 00:00:00,2051-09-01 00:00:00,2052-03-01 00:00:00,2052-09-01 00:00:00,2053-03-01 00:00:00,2053-09-01 00:00:00,2054-03-01 00:00:00,2054-09-01 00:00:00,2055-03-01 00:00:00,2055-09-01 00:00:00,2056-03-01 00:00:00,2056-09-01 00:00:00,2057-03-01 00:00:00,2057-09-01 00:00:00,2058-03-01 00:00:00,2058-09-01 00:00:00,2059-03-01 00:00:00,2059-09-01 00:00:00,2060-03-01 00:00:00,2060-09-01 00:00:00,2061-03-01 00:00:00,2061-09-01 00:00:00,2062-03-01 00:00:00,2062-09-01 00:00:00,2063-03-01 00:00:00,2063-09-01 00:00:00,2064-03-01 00:00:00,2064-09-01 00:00:00,2065-03-01 00:00:00,2065-09-01 00:00:00,2066-03-01 00:00:00,2066-09-01 00:00:00
,,,Period End,,2026-05-01 00:00:00,,,,2026-04-30 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,2027-04-30 00:00:00,2027-05-31 00:00:00,2027-06-30 00:00:00,2027-07-31 00:00:00,2027-08-31 00:00:00,2027-09-30 00:00:00,2027-10-31 00:00:00,2027-11-30 00:00:00,2027-12-31 00:00:00,2028-01-31 00:00:00,2028-02-29 00:00:00,2028-03-31 00:00:00,2028-04-30 00:00:00,2028-05-31 00:00:00,2028-06-30 00:00:00,2028-07-31 00:00:00,2028-08-31 00:00:00,2028-09-30 00:00:00,2028-10-31 00:00:00,2028-11-30 00:00:00,2028-12-31 00:00:00,2029-01-31 00:00:00,2029-02-28 00:00:00,2029-03-31 00:00:00,2029-04-30 00:00:00,2029-05-31 00:00:00,2029-06-30 00:00:00,2029-07-31 00:00:00,2029-08-31 00:00:00,2030-02-28 00:00:00,2030-08-31 00:00:00,2031-02-28 00:00:00,2031-08-31 00:00:00,2032-02-29 00:00:00,2032-08-31 00:00:00,2033-02-28 00:00:00,2033-08-31 00:00:00,2034-02-28 00:00:00,2034-08-31 00:00:00,2035-02-28 00:00:00,2035-08-31 00:00:00,2036-02-29 00:00:00,2036-08-31 00:00:00,2037-02-28 00:00:00,2037-08-31 00:00:00,2038-02-28 00:00:00,2038-08-31 00:00:00,2039-02-28 00:00:00,2039-08-31 00:00:00,2040-02-29 00:00:00,2040-08-31 00:00:00,2041-02-28 00:00:00,2041-08-31 00:00:00,2042-02-28 00:00:00,2042-08-31 00:00:00,2043-02-28 00:00:00,2043-08-31 00:00:00,2044-02-29 00:00:00,2044-08-31 00:00:00,2045-02-28 00:00:00,2045-08-31 00:00:00,2046-02-28 00:00:00,2046-08-31 00:00:00,2047-02-28 00:00:00,2047-08-31 00:00:00,2048-02-29 00:00:00,2048-08-31 00:00:00,2049-02-28 00:00:00,2049-08-31 00:00:00,2050-02-28 00:00:00,2050-08-31 00:00:00,2051-02-28 00:00:00,2051-08-31 00:00:00,2052-02-29 00:00:00,2052-08-31 00:00:00,2053-02-28 00:00:00,2053-08-31 00:00:00,2054-02-28 00:00:00,2054-08-31 00:00:00,2055-02-28 00:00:00,2055-08-31 00:00:00,2056-02-29 00:00:00,2056-08-31 00:00:00,2057-02-28 00:00:00,2057-08-31 00:00:00,2058-02-28 00:00:00,2058-08-31 00:00:00,2059-02-28 00:00:00,2059-08-31 00:00:00,2060-02-29 00:00:00,2060-08-31 00:00:00,2061-02-28 00:00:00,2061-08-31 00:00:00,2062-02-28 00:00:00,2062-08-31 00:00:00,2063-02-28 00:00:00,2063-08-31 00:00:00,2064-02-29 00:00:00,2064-08-31 00:00:00,2065-02-28 00:00:00,2065-08-31 00:00:00,2066-02-28 00:00:00,2066-08-31 00:00:00,2067-02-28 00:00:00
,,,Year,,,,,,,2026,2026,2026,2026,2026,2026,2026,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2029,2029,2029,2029,2029,2029,2029,2029,2030,2030,2031,2031,2032,2032,2033,2033,2034,2034,2035,2035,2036,2036,2037,2037,2038,2038,2039,2039,2040,2040,2041,2041,2042,2042,2043,2043,2044,2044,2045,2045,2046,2046,2047,2047,2048,2048,2049,2049,2050,2050,2051,2051,2052,2052,2053,2053,2054,2054,2055,2055,2056,2056,2057,2057,2058,2058,2059,2059,2060,2060,2061,2061,2062,2062,2063,2063,2064,2064,2065,2065,2066,2066,2067
,,,Construction Switch,Start/End,2026-05-01 00:00:00,2029-09-01 00:00:00,40,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Operation Switch,Start/End,2029-09-01 00:00:00,2054-09-01 00:00:00,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Debt repayment Phase,Start/End,2029-09-01 00:00:00,2041-09-01 00:00:00,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
