Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,Scenario Number,,5,<--- Do Not Delete,,,,,scenario sheet,Scenarios,<--- Do Not Delete,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Construction Period,Operating Period,Construction Cost,Real/inflation-adjustedised Capacity,Actual Heat Rate,Actual Degradation in Heat Rate,Inflation,Actual Availability,Actual Fuel Price  per MJ,Actual Fixed O&M Expenses,Actual Variable O&M Expenses
,,,,,,,,,,,,,,
,,,Base Case,40,25,340000000,300,6516.24,0.003,1,0.8,142.644112,2,12
,,,Low Case,45,23,500000000,285,6711.7272,0.0005,2,0.75,146.2102148,3,14
,,,High Case,35,30,259259259.25925928,315,6320.752799999999,0.001,3,0.85,139.0780092,1,10
,,,,,,,,,,,,,,
,,,Custom Case,40,25,340000000,300,6516.24,0.00030000000000000003,1,0.8,150,2,12
,,,,,,,,,,,,,,
,,,Custom Case,40,25,340000000,300,6516.24,0.00030000000000000003,1,0.8,150,2,12
,,,,,,,,,,,,,,
,,,Copied Data,40,25,340000000,300,6516.24,0.003,1,0.8,142.644112,2,12
,,,Multiplier,1,1,1e-05,1,1,1000,1,100,1,1,1
,,,Adjusted,40,25,3400.0000000000005,300,6516.24,3,1,80,142.644112,2,12
,,,Spinner Data,40,25,3400.0000000000005,300,6516.24,3,1,80,150,2,12
,,,,,,,,,,,,,,
,,,Fuel Type,,,,,,,,,,,
,,,1,LNG,,,,,,,,,,
,,,2,Domestic Natural Gas,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,Senior Debt,215723867.6211525,0.5526269653248959
,,,,,,,,,,,,Subhordinated Debt,0,0
,,,,,,,,,,,,Equity,174636866.03274354,0.4473730346751042
,,,,,,,,,,,,Total,390360733.65389603,1
